locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKFMKLHP_01890	CDS	321	ebrA			Multidrug resistance protein EbrA
AKFMKLHP_01891	CDS	276				hypothetical protein
AKFMKLHP_01892	CDS	405				hypothetical protein
AKFMKLHP_01893	CDS	945	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
AKFMKLHP_01894	CDS	222	hfq		COG1923	RNA-binding protein Hfq
AKFMKLHP_01895	CDS	273	ymzC			putative protein YmzC
AKFMKLHP_01896	CDS	231				hypothetical protein
AKFMKLHP_01897	CDS	303	nrdI_1		COG1780	Protein NrdI
AKFMKLHP_01898	CDS	2103	nrdE_1	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
AKFMKLHP_01899	CDS	579	thiT		COG3859	Thiamine transporter ThiT
AKFMKLHP_01900	CDS	522				hypothetical protein
AKFMKLHP_01901	CDS	1530	yqiK		COG2268	Inner membrane protein YqiK
AKFMKLHP_01902	CDS	576	yuaF			putative membrane protein YuaF
AKFMKLHP_01903	CDS	489				hypothetical protein
AKFMKLHP_01904	CDS	579	yuaD			Putative metal-sulfur cluster biosynthesis proteins YuaD
AKFMKLHP_01905	CDS	1209	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
AKFMKLHP_01906	CDS	1473	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
AKFMKLHP_01907	CDS	543	opcR_1		COG1510	HTH-type transcriptional repressor OpcR
AKFMKLHP_01908	CDS	546	bslA			Biofilm-surface layer protein A
AKFMKLHP_01909	CDS	669	ktrA_2		COG0569	Ktr system potassium uptake protein A
AKFMKLHP_01910	CDS	1338	ktrB_2		COG0168	Ktr system potassium uptake protein B
AKFMKLHP_01911	CDS	264				hypothetical protein
AKFMKLHP_01912	CDS	1035	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
AKFMKLHP_01913	CDS	1536	mdtL			Multidrug resistance protein MdtL
AKFMKLHP_01914	CDS	486	cdoA	1.13.11.20		Cysteine dioxygenase
AKFMKLHP_01915	tRNA	73				tRNA-Ala(ggc)
AKFMKLHP_01916	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
AKFMKLHP_01917	CDS	1167				hypothetical protein
AKFMKLHP_01918	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
AKFMKLHP_01919	CDS	1275	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
AKFMKLHP_01920	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
AKFMKLHP_01921	CDS	1458	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
AKFMKLHP_01922	CDS	777	srlR_1		COG1349	Glucitol operon repressor
AKFMKLHP_01923	CDS	2070	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AKFMKLHP_01924	CDS	1989	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
AKFMKLHP_01925	CDS	1986	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
AKFMKLHP_01926	CDS	1989	mcpA_2		COG0840	Methyl-accepting chemotaxis protein McpA
AKFMKLHP_01927	CDS	1989	mcpB_2		COG0840	Methyl-accepting chemotaxis protein McpB
AKFMKLHP_01928	CDS	738	tgl	2.3.2.13		Protein-glutamine gamma-glutamyltransferase
AKFMKLHP_01929	CDS	255				hypothetical protein
AKFMKLHP_01930	CDS	399				hypothetical protein
AKFMKLHP_01931	CDS	1665	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
AKFMKLHP_01932	CDS	1290				hypothetical protein
AKFMKLHP_01933	CDS	678				hypothetical protein
AKFMKLHP_01934	CDS	264				hypothetical protein
AKFMKLHP_01935	CDS	333	mstX		COG1226	Protein mistic
AKFMKLHP_01936	CDS	987				hypothetical protein
AKFMKLHP_01937	CDS	405				hypothetical protein
AKFMKLHP_01938	CDS	429				hypothetical protein
AKFMKLHP_01939	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
AKFMKLHP_01940	CDS	1173	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
AKFMKLHP_01941	CDS	1164	adh2_2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
AKFMKLHP_01942	CDS	237				hypothetical protein
AKFMKLHP_01943	CDS	393	yugI		COG1098	General stress protein 13
AKFMKLHP_01944	CDS	1083	dapX_2	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
AKFMKLHP_01945	CDS	501				hypothetical protein
AKFMKLHP_01946	CDS	822	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
AKFMKLHP_01947	CDS	261				hypothetical protein
AKFMKLHP_01948	CDS	1164	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
AKFMKLHP_01949	CDS	1287	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
AKFMKLHP_01950	CDS	387	kapB			Kinase-associated lipoprotein B
AKFMKLHP_01951	CDS	618	dinG_3	3.1.-.-		3'-5' exonuclease DinG
AKFMKLHP_01952	CDS	204				hypothetical protein
AKFMKLHP_01953	CDS	1059	sbnD			Staphyloferrin B transporter
AKFMKLHP_01954	CDS	1875	pbpD		COG0744	Penicillin-binding protein 4
AKFMKLHP_01955	CDS	414				hypothetical protein
AKFMKLHP_01956	CDS	558				hypothetical protein
AKFMKLHP_01957	CDS	1602	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
AKFMKLHP_01958	CDS	708	dcuR_1		COG4565	Transcriptional regulatory protein DcuR
AKFMKLHP_01959	CDS	1080	tmpC		COG1744	Membrane lipoprotein TmpC
AKFMKLHP_01960	CDS	1533	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
AKFMKLHP_01961	CDS	1047				hypothetical protein
AKFMKLHP_01962	CDS	960	rfuD		COG1079	putative riboflavin import permease protein RfuD
AKFMKLHP_01963	CDS	1347	cimH_1		COG3493	Citrate/malate transporter
AKFMKLHP_01964	CDS	216				hypothetical protein
AKFMKLHP_01965	CDS	2406	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
AKFMKLHP_01966	CDS	432	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
AKFMKLHP_01967	CDS	342	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
AKFMKLHP_01968	CDS	1491	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
AKFMKLHP_01969	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
AKFMKLHP_01970	CDS	285	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
AKFMKLHP_01971	CDS	375	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
AKFMKLHP_01972	CDS	381		3.1.2.-	COG2050	Putative esterase
AKFMKLHP_01973	CDS	645	comA		COG2197	Transcriptional regulatory protein ComA
AKFMKLHP_01974	CDS	2310	comP	2.7.13.3		Sensor histidine kinase ComP
AKFMKLHP_01975	CDS	201	comX			Competence pheromone
AKFMKLHP_01976	CDS	984				hypothetical protein
AKFMKLHP_01977	CDS	141	degQ			Degradation enzyme regulation protein DegQ
AKFMKLHP_01978	CDS	369				hypothetical protein
AKFMKLHP_01979	CDS	1230	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
AKFMKLHP_01980	CDS	1473	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
AKFMKLHP_01981	CDS	552	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
AKFMKLHP_01982	CDS	399	yueI		COG5506	putative protein YueI
AKFMKLHP_01983	CDS	249				hypothetical protein
AKFMKLHP_01984	CDS	222	gerPF_3			putative spore germination protein GerPF
AKFMKLHP_01985	CDS	1110			COG0628	Putative transport protein
AKFMKLHP_01986	CDS	390				hypothetical protein
AKFMKLHP_01987	CDS	237				hypothetical protein
AKFMKLHP_01988	CDS	531				hypothetical protein
AKFMKLHP_01989	CDS	732	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
AKFMKLHP_01990	CDS	465				hypothetical protein
AKFMKLHP_01991	CDS	3231	yueB		COG1511	ESX secretion system protein YueB
AKFMKLHP_01992	CDS	4521	eccC		COG1674	ESX secretion system protein EccC
AKFMKLHP_01993	CDS	1356	essB		COG4499	Type VII secretion system protein EssB
AKFMKLHP_01994	CDS	240	yukD		COG5417	ESX secretion system protein YukD
AKFMKLHP_01995	CDS	294	yukE		COG4842	Protein YukE
AKFMKLHP_01996	CDS	1230	putR_1			Proline-responsive transcriptional activator PutR
AKFMKLHP_01997	CDS	1137	ald	1.4.1.1	COG0686	Alanine dehydrogenase
AKFMKLHP_01998	CDS	678				hypothetical protein
AKFMKLHP_01999	CDS	210	mbtH		COG3251	Protein MbtH
AKFMKLHP_02000	CDS	7137	dhbF		COG1020	Dimodular nonribosomal peptide synthase
AKFMKLHP_02001	CDS	939	dhbB	3.3.2.1	COG1535	Isochorismatase
AKFMKLHP_02002	CDS	1620	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
AKFMKLHP_02003	CDS	1197	dhbC	5.4.4.2	COG1169	Isochorismate synthase DhbC
AKFMKLHP_02004	CDS	786	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
AKFMKLHP_02005	CDS	882	besA	3.1.-.-	COG2819	Ferri-bacillibactin esterase BesA
AKFMKLHP_02006	CDS	597	yedY1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
AKFMKLHP_02007	CDS	603	bioY_2		COG1268	Biotin transporter BioY
AKFMKLHP_02008	CDS	1329				hypothetical protein
AKFMKLHP_02009	CDS	1503	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
AKFMKLHP_02010	CDS	477				hypothetical protein
AKFMKLHP_02011	CDS	657	yuiC		COG3584	putative protein YuiC
AKFMKLHP_02012	CDS	321				hypothetical protein
AKFMKLHP_02013	CDS	1221		1.6.99.-	COG1252	NADH dehydrogenase-like protein
AKFMKLHP_02014	CDS	999	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
AKFMKLHP_02015	CDS	141				hypothetical protein
AKFMKLHP_02016	CDS	981	guaC	1.7.1.7	COG0516	GMP reductase
AKFMKLHP_02017	CDS	624	paiB		COG2808	Protease synthase and sporulation protein PAI 2
AKFMKLHP_02018	CDS	507	paiA	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
AKFMKLHP_02019	CDS	363			COG0316	Protein
AKFMKLHP_02020	CDS	855	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
AKFMKLHP_02021	CDS	1215	nupX		COG1972	Putative nucleoside permease NupX
AKFMKLHP_02022	CDS	237				hypothetical protein
AKFMKLHP_02023	CDS	1029	ndh	1.6.99.3	COG1252	NADH dehydrogenase
AKFMKLHP_02024	CDS	324				hypothetical protein
AKFMKLHP_02025	CDS	237	nfuA			Fe/S biogenesis protein NfuA
AKFMKLHP_02026	CDS	1974	dpp5_2	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
AKFMKLHP_02027	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
AKFMKLHP_02028	CDS	1068	thrC	4.2.3.1	COG0498	Threonine synthase
AKFMKLHP_02029	CDS	1302	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
AKFMKLHP_02030	CDS	1020				hypothetical protein
AKFMKLHP_02031	CDS	450	ypjQ_2		COG1267	putative protein YpjQ
AKFMKLHP_02032	CDS	771	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
AKFMKLHP_02033	CDS	435				hypothetical protein
AKFMKLHP_02034	CDS	276	yutD		COG4470	putative protein YutD
AKFMKLHP_02035	CDS	633				hypothetical protein
AKFMKLHP_02036	CDS	897	lipA	2.8.1.8	COG0320	Lipoyl synthase
AKFMKLHP_02037	CDS	981	lytH	3.4.-.-	COG0739	L-Ala--D-Glu endopeptidase
AKFMKLHP_02038	CDS	765	yunB			Sporulation protein YunB
AKFMKLHP_02039	CDS	306				hypothetical protein
AKFMKLHP_02040	CDS	1389	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
AKFMKLHP_02041	CDS	822				hypothetical protein
AKFMKLHP_02042	CDS	849				hypothetical protein
AKFMKLHP_02043	CDS	348				hypothetical protein
AKFMKLHP_02044	CDS	1341	allB	3.5.2.5	COG0044	Allantoinase
AKFMKLHP_02045	CDS	1596	pucR		COG2508	Purine catabolism regulatory protein
AKFMKLHP_02046	CDS	1350	pucJ		COG2233	Uric acid permease PucJ
AKFMKLHP_02047	CDS	1293	pucK_2		COG2233	Uric acid permease PucK
AKFMKLHP_02048	CDS	1485	pucL		COG3195	Uric acid degradation bifunctional protein PucL
AKFMKLHP_02049	CDS	345	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
AKFMKLHP_02050	CDS	522	pucE	1.17.1.4	COG2080	putative xanthine dehydrogenase subunit E
AKFMKLHP_02051	CDS	2238	pucD	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
AKFMKLHP_02052	CDS	834	pucC	1.17.1.4	COG1319	putative xanthine dehydrogenase subunit C
AKFMKLHP_02053	CDS	618	pucB		COG2068	Purine catabolism protein PucB
AKFMKLHP_02054	CDS	993	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
AKFMKLHP_02055	CDS	222				hypothetical protein
AKFMKLHP_02056	CDS	1251	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
AKFMKLHP_02057	CDS	1239	pucF	3.5.3.9	COG0624	Allantoate amidohydrolase
AKFMKLHP_02058	CDS	867	bsn	3.1.-.-	COG2356	Extracellular ribonuclease
AKFMKLHP_02059	CDS	1104	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
AKFMKLHP_02060	CDS	729	yurK		COG2188	putative HTH-type transcriptional regulator YurK
AKFMKLHP_02061	CDS	855	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
AKFMKLHP_02062	CDS	903	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
AKFMKLHP_02063	CDS	879	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
AKFMKLHP_02064	CDS	1269	msmE		COG1653	Multiple sugar-binding protein
AKFMKLHP_02065	CDS	987	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
AKFMKLHP_02066	CDS	375	uvrC_2			UvrABC system protein C
AKFMKLHP_02067	CDS	1119	thiO_2	1.4.3.19		Glycine oxidase
AKFMKLHP_02068	CDS	147	sspG			Small, acid-soluble spore protein G
AKFMKLHP_02069	CDS	276				hypothetical protein
AKFMKLHP_02070	CDS	384				hypothetical protein
AKFMKLHP_02071	CDS	1398				hypothetical protein
AKFMKLHP_02072	CDS	444	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
AKFMKLHP_02073	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
AKFMKLHP_02074	CDS	1314				hypothetical protein
AKFMKLHP_02075	CDS	786	sufC		COG0396	Vegetative protein 296
AKFMKLHP_02076	CDS	363				hypothetical protein
AKFMKLHP_02077	CDS	825	metQ_2		COG1464	Methionine-binding lipoprotein MetQ
AKFMKLHP_02078	CDS	669	metP		COG2011	Methionine import system permease protein MetP
AKFMKLHP_02079	CDS	1026	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
AKFMKLHP_02080	CDS	345				hypothetical protein
AKFMKLHP_02081	CDS	321				hypothetical protein
AKFMKLHP_02082	CDS	441	rnmV_1	3.1.26.8		Ribonuclease M5
AKFMKLHP_02083	CDS	237				hypothetical protein
AKFMKLHP_02084	CDS	384	gcvH		COG0509	Glycine cleavage system H protein
AKFMKLHP_02085	CDS	357	mgsR_2		COG1393	Regulatory protein MgsR
AKFMKLHP_02086	CDS	1785	fadE	1.3.99.-	COG1960	putative acyl-CoA dehydrogenase
AKFMKLHP_02087	CDS	1176	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
AKFMKLHP_02088	CDS	2448	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
AKFMKLHP_02089	CDS	147				hypothetical protein
AKFMKLHP_02090	CDS	909	fadM	1.5.5.2	COG0506	Proline dehydrogenase 1
AKFMKLHP_02091	CDS	246				hypothetical protein
AKFMKLHP_02092	CDS	333				hypothetical protein
AKFMKLHP_02093	CDS	468	yusO_2			putative HTH-type transcriptional regulator YusO
AKFMKLHP_02094	CDS	1626	bmr3_1			Multidrug resistance protein 3
AKFMKLHP_02095	CDS	384				hypothetical protein
AKFMKLHP_02096	CDS	381	baiA	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
AKFMKLHP_02097	CDS	330	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AKFMKLHP_02098	CDS	888	gltR_3		COG0583	HTH-type transcriptional regulator GltR
AKFMKLHP_02099	CDS	288				hypothetical protein
AKFMKLHP_02100	CDS	828	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
AKFMKLHP_02101	CDS	438				hypothetical protein
AKFMKLHP_02102	CDS	1503	pepF1_2	3.4.24.-		Oligoendopeptidase F, plasmid
AKFMKLHP_02103	CDS	297				hypothetical protein
AKFMKLHP_02104	CDS	843				hypothetical protein
AKFMKLHP_02105	CDS	462	mrgA		COG0783	Metalloregulation DNA-binding stress protein
AKFMKLHP_02106	CDS	1377	htrB	3.4.21.107	COG0265	Serine protease Do-like HtrB
AKFMKLHP_02107	CDS	678	cssR			Transcriptional regulatory protein CssR
AKFMKLHP_02108	CDS	1356	cssS_1	2.7.13.3		Sensor histidine kinase CssS
AKFMKLHP_02109	CDS	876				hypothetical protein
AKFMKLHP_02110	CDS	1389	fumC	4.2.1.2		Fumarate hydratase class II
AKFMKLHP_02111	CDS	186				hypothetical protein
AKFMKLHP_02112	CDS	1449	gerAA_1			Spore germination protein A1
AKFMKLHP_02113	CDS	1098	gerAB			Spore germination protein A2
AKFMKLHP_02114	CDS	1122	gerAC			Spore germination protein A3
AKFMKLHP_02115	CDS	636	liaR_2		COG2197	Transcriptional regulatory protein LiaR
AKFMKLHP_02116	CDS	1083	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
AKFMKLHP_02117	CDS	726	liaF		COG4758	Protein LiaF
AKFMKLHP_02118	CDS	873	liaG		COG3595	Protein LiaG
AKFMKLHP_02119	CDS	678	liaH		COG1842	Protein LiaH
AKFMKLHP_02120	CDS	381	liaI			Protein LiaI
AKFMKLHP_02121	CDS	1269				hypothetical protein
AKFMKLHP_02122	CDS	582	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
AKFMKLHP_02123	CDS	1332	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AKFMKLHP_02124	CDS	1062	hmuU		COG0609	Hemin transport system permease protein HmuU
AKFMKLHP_02125	CDS	945	btuF			Vitamin B12-binding protein
AKFMKLHP_02126	CDS	792	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
AKFMKLHP_02127	CDS	879		3.1.1.99		6-deoxy-6-sulfogluconolactonase
AKFMKLHP_02128	CDS	1743	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
AKFMKLHP_02129	CDS	828	walR_2		COG0745	Transcriptional regulatory protein WalR
AKFMKLHP_02130	CDS	240	rsoA			Sigma-O factor regulatory protein RsoA
AKFMKLHP_02131	CDS	573	sigO			RNA polymerase sigma factor SigO
AKFMKLHP_02132	CDS	153	yvrJ			putative protein YvrJ
AKFMKLHP_02133	CDS	1158	oxdC	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
AKFMKLHP_02134	CDS	411	yvrL			Membrane-bound negative regulator YvrL
AKFMKLHP_02135	CDS	1230	yknZ_2		COG0577	putative ABC transporter permease YknZ
AKFMKLHP_02136	CDS	690	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
AKFMKLHP_02137	CDS	1194	yknX_2		COG0845	Putative efflux system component YknX
AKFMKLHP_02138	CDS	810	yusV_2		COG1120	putative siderophore transport system ATP-binding protein YusV
AKFMKLHP_02139	CDS	1011	feuC_1		COG0609	Iron-uptake system permease protein FeuC
AKFMKLHP_02140	CDS	1047	feuB_1		COG0609	Iron-uptake system permease protein FeuB
AKFMKLHP_02141	CDS	948	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
AKFMKLHP_02142	CDS	243				hypothetical protein
AKFMKLHP_02143	CDS	1410	arcD		COG0531	Arginine/ornithine antiporter
AKFMKLHP_02144	CDS	141	sspJ			Small, acid-soluble spore protein J
AKFMKLHP_02145	CDS	483	ydjM_1		COG1988	Inner membrane protein YdjM
AKFMKLHP_02146	CDS	1854	ltaS2_1		COG1368	Lipoteichoic acid synthase 2
AKFMKLHP_02147	CDS	930				hypothetical protein
AKFMKLHP_02148	CDS	783	modA		COG0725	Molybdate-binding protein ModA
AKFMKLHP_02149	CDS	684	modB		COG4149	Molybdenum transport system permease protein ModB
AKFMKLHP_02150	CDS	831	yvgN	1.1.1.-	COG0656	Glyoxal reductase
AKFMKLHP_02151	CDS	486	yvgO			Stress response protein YvgO
AKFMKLHP_02152	CDS	2013	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
AKFMKLHP_02153	CDS	1716	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
AKFMKLHP_02154	CDS	1818	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
AKFMKLHP_02155	CDS	2325	helD	3.6.4.12	COG3973	DNA helicase IV
AKFMKLHP_02156	CDS	609				hypothetical protein
AKFMKLHP_02157	CDS	417	bdbC		COG1495	Disulfide bond formation protein C
AKFMKLHP_02158	CDS	669	bdbD		COG1651	Disulfide bond formation protein D
AKFMKLHP_02159	CDS	2100	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
AKFMKLHP_02160	CDS	2412	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
AKFMKLHP_02161	CDS	210	copZ			Copper chaperone CopZ
AKFMKLHP_02162	CDS	306	csoR_2		COG1937	Copper-sensing transcriptional repressor CsoR
AKFMKLHP_02163	CDS	1047	iolW	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW
AKFMKLHP_02164	CDS	636	azoR2	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 2
AKFMKLHP_02165	CDS	1896				hypothetical protein
AKFMKLHP_02166	CDS	402				hypothetical protein
AKFMKLHP_02167	CDS	360	qacC			Quaternary ammonium compound-resistance protein QacC
AKFMKLHP_02168	CDS	573				hypothetical protein
AKFMKLHP_02169	CDS	795	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AKFMKLHP_02170	tmRNA	360	ssrA			transfer-messenger RNA, SsrA
AKFMKLHP_02171	CDS	471	smpB		COG0691	SsrA-binding protein
AKFMKLHP_02172	CDS	2340	rnr	3.1.13.1	COG0557	Ribonuclease R
AKFMKLHP_02173	CDS	741	est	3.1.1.1	COG1647	Carboxylesterase
AKFMKLHP_02174	CDS	231	secG		COG1314	putative protein-export membrane protein SecG
AKFMKLHP_02175	CDS	771	yvaM	3.-.-.-		AB hydrolase superfamily protein YvaM
AKFMKLHP_02176	CDS	243				hypothetical protein
AKFMKLHP_02177	CDS	417	rghR_1			HTH-type transcriptional repressor RghR
AKFMKLHP_02178	CDS	420	rghR_2			HTH-type transcriptional repressor RghR
AKFMKLHP_02179	CDS	327	yodB_1		COG1733	HTH-type transcriptional regulator YodB
AKFMKLHP_02180	CDS	1701				hypothetical protein
AKFMKLHP_02181	CDS	681	opuBD		COG1174	Choline transport system permease protein OpuBD
AKFMKLHP_02182	CDS	921	opuBC		COG1732	Choline-binding protein
AKFMKLHP_02183	CDS	654	opuBB		COG1174	Choline transport system permease protein OpuBB
AKFMKLHP_02184	CDS	1146	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
AKFMKLHP_02185	CDS	534	opcR_2		COG1510	HTH-type transcriptional repressor OpcR
AKFMKLHP_02186	CDS	477	sdpA			Sporulation-delaying protein SdpA
AKFMKLHP_02187	CDS	972	sdpB_2			Sporulation-delaying protein SdpB
AKFMKLHP_02188	CDS	612	sdpC_2			Sporulation delaying protein C
AKFMKLHP_02189	CDS	624	sdpI		COG5658	Immunity protein SdpI
AKFMKLHP_02190	CDS	273	sdpR_1		COG0640	Transcriptional repressor SdpR
AKFMKLHP_02191	CDS	690	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
AKFMKLHP_02192	CDS	918	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
AKFMKLHP_02193	CDS	654	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
AKFMKLHP_02194	CDS	1143	opuCA_2		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
AKFMKLHP_02195	CDS	558	opcR_3		COG1510	HTH-type transcriptional repressor OpcR
AKFMKLHP_02196	CDS	633				hypothetical protein
AKFMKLHP_02197	CDS	615				hypothetical protein
AKFMKLHP_02198	CDS	699				hypothetical protein
AKFMKLHP_02199	CDS	1818				hypothetical protein
AKFMKLHP_02200	CDS	462	yvbK	2.3.1.-		putative N-acetyltransferase YvbK
AKFMKLHP_02201	CDS	1293	eno	4.2.1.11	COG0148	Enolase
AKFMKLHP_02202	CDS	1536	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AKFMKLHP_02203	CDS	762	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
AKFMKLHP_02204	CDS	1185	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
AKFMKLHP_02205	CDS	1008	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
AKFMKLHP_02206	CDS	1023	cggR		COG2390	Central glycolytic genes regulator
AKFMKLHP_02207	CDS	1395	araE		COG0477	Arabinose-proton symporter
AKFMKLHP_02208	CDS	1089	araR		COG1609	Arabinose metabolism transcriptional repressor
AKFMKLHP_02209	CDS	1011				hypothetical protein
AKFMKLHP_02210	CDS	879	gltC_1			HTH-type transcriptional regulator GltC
AKFMKLHP_02211	CDS	918	eamA		COG0697	putative amino-acid metabolite efflux pump
AKFMKLHP_02212	CDS	1344	yvbW		COG1113	putative amino acid permease YvbW
AKFMKLHP_02213	CDS	1035	ydhD_1	3.2.-.-	COG3858	Putative sporulation-specific glycosylase YdhD
AKFMKLHP_02214	CDS	723	lutC		COG1556	Lactate utilization protein C
AKFMKLHP_02215	CDS	1440	lutB		COG1139	Lactate utilization protein B
AKFMKLHP_02216	CDS	717	lutA_2		COG0247	Lactate utilization protein A
AKFMKLHP_02217	CDS	603	desR_1		COG2197	Transcriptional regulatory protein DesR
AKFMKLHP_02218	CDS	1116	desK_1	2.7.13.3	COG4585	Sensor histidine kinase DesK
AKFMKLHP_02219	CDS	738				hypothetical protein
AKFMKLHP_02220	CDS	903	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AKFMKLHP_02221	CDS	810	rsbQ			Sigma factor SigB regulation protein RsbQ
AKFMKLHP_02222	CDS	1212	rsbP	3.1.3.3	COG2208	Phosphoserine phosphatase RsbP
AKFMKLHP_02223	CDS	1290	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
